Age,Gender,Location,Account_Type,Tenure,Contract_Status,Income,Spending_Score,Churn
28,Male,Rural,Savings,4,1-Year,21090.076177183342,3.732443072533078,0
25,Male,Suburb,Savings,3,2-Year,42616.57663298998,6.862807349933174,0
35,Male,City,Savings,7,Month-to-Month,85440.07884042923,9.001145802038922,0
49,Female,Suburb,Checking,1,Month-to-Month,79502.9888434724,4.851842076359906,0
19,Female,City,Savings,1,2-Year,44474.338320356925,7.215325585354778,1
23,Female,Rural,Savings,9,2-Year,67734.6321283014,1.2999164516009887,1
56,Female,Suburb,Savings,6,Month-to-Month,25749.485575116483,9.511299539229661,1
43,Male,Suburb,Checking,7,2-Year,67944.35675205122,5.191546990615871,0
48,Female,Rural,Savings,2,2-Year,58942.02739775496,3.38343866815566,1
32,Male,City,Checking,4,2-Year,48954.05183249891,4.661467855369515,0
24,Male,Suburb,Savings,5,1-Year,36865.15565587181,3.356893843187338,0
49,Female,Suburb,Savings,10,Month-to-Month,74373.78025027024,1.2689012950266498,1
64,Male,Suburb,Checking,4,1-Year,68087.9492657913,6.109687080426959,0
22,Male,City,Savings,5,2-Year,68931.71264793539,2.8354670583415174,0
35,Male,Suburb,Checking,4,2-Year,39490.44518152511,8.625872116776911,0
34,Female,City,Savings,7,Month-to-Month,38342.880573799186,8.436028564230025,1
44,Female,City,Savings,8,Month-to-Month,93203.06673080398,3.5201655193786276,1
58,Male,City,Checking,10,2-Year,64356.21824571092,6.0148923492640565,1
27,Female,City,Savings,2,Month-to-Month,42412.71961078495,9.417165322339923,0
35,Female,Rural,Checking,8,2-Year,66884.30186226347,4.75667158476195,1
54,Male,Rural,Checking,3,2-Year,30881.59199178742,5.259581205249378,1
56,Female,City,Checking,9,Month-to-Month,41052.832327840646,2.893435485593042,1
61,Male,City,Savings,9,2-Year,82617.15281460091,7.2104783088459765,0
55,Male,Rural,Checking,5,1-Year,25516.249650164442,3.082440820235143,0
62,Male,City,Savings,7,1-Year,49020.023245316064,7.514655466313666,0
44,Male,Rural,Savings,4,Month-to-Month,37043.36492230621,2.5935288380377464,1
42,Male,Suburb,Savings,2,1-Year,67579.81859072551,6.759229163012941,0
27,Female,City,Checking,2,2-Year,71927.03507982081,8.908546387669336,0
44,Male,Suburb,Savings,9,2-Year,53739.74088454798,4.723746412050786,0
37,Male,Rural,Savings,2,Month-to-Month,48480.553478145885,1.8713252217232426,1
23,Female,City,Savings,8,Month-to-Month,20195.174736788325,8.673161065787845,1
61,Female,Rural,Checking,6,2-Year,58407.26077797163,3.996422717723334,1
45,Male,City,Savings,2,Month-to-Month,34550.34773640228,9.547289764067694,1
63,Male,City,Savings,8,1-Year,90463.81355520524,5.288839230958029,0
37,Female,Rural,Checking,10,1-Year,81534.3789111518,6.056324886186901,0
47,Female,City,Savings,3,2-Year,61334.07836637066,7.529567684218302,1
37,Male,Suburb,Checking,4,Month-to-Month,79806.92257102665,1.5967576995095705,0
34,Male,Suburb,Checking,6,1-Year,74754.75872492546,1.2716151545047059,1
64,Male,Suburb,Checking,8,1-Year,66210.82272288942,1.6990155256854422,0
46,Male,City,Checking,6,1-Year,54568.65977109606,4.020118682416296,0
62,Female,City,Checking,7,1-Year,77285.58424118387,4.2764224490427365,0
54,Female,City,Checking,5,1-Year,99445.02677078357,3.1028564071539355,1
57,Male,City,Checking,1,1-Year,23994.674398825293,5.93773431448219,0
29,Male,Rural,Savings,4,2-Year,33062.51922971824,5.534776925876593,0
29,Male,Rural,Checking,10,2-Year,91012.27159675451,6.748486500656895,1
57,Male,Suburb,Savings,8,2-Year,87837.0561875842,5.5755251087666595,1
19,Female,City,Checking,1,1-Year,51943.70530637645,5.544303875310616,1
47,Female,Suburb,Checking,4,1-Year,80962.5604364959,1.8449698952982119,0
58,Male,Suburb,Checking,2,Month-to-Month,63509.28887538105,8.630346222840846,1
23,Female,Rural,Checking,1,1-Year,91403.23159504101,9.07169377082425,1
52,Female,City,Savings,3,2-Year,95512.2394627694,4.449500133276038,0
45,Male,City,Checking,10,Month-to-Month,81574.32446375405,3.910200798141859,0
33,Male,Suburb,Checking,4,2-Year,89423.29221521366,7.904993376518392,0
39,Male,City,Checking,5,1-Year,38346.43812267748,3.464537871771327,0
41,Male,Rural,Savings,2,Month-to-Month,70914.09774077352,3.472218117227643,1
52,Male,City,Checking,7,Month-to-Month,70032.94409010543,1.8392177743581315,1
35,Male,Rural,Savings,8,Month-to-Month,26189.1713596232,4.58315477545739,1
28,Female,City,Savings,4,2-Year,67770.4492765408,4.609753459677508,1
59,Female,Suburb,Checking,3,Month-to-Month,46226.27540902794,5.670470668545563,1
56,Female,City,Checking,5,1-Year,66776.3414662505,9.826123749974558,0
18,Male,Suburb,Checking,10,1-Year,65013.173059215245,2.9577186626191376,0
29,Male,Rural,Savings,8,2-Year,83943.31879406056,3.7380838789963113,1
59,Male,Suburb,Savings,3,Month-to-Month,84388.06937633631,6.204083538979565,1
37,Male,Suburb,Savings,7,Month-to-Month,76490.65985175365,5.261700575710908,0
63,Female,Suburb,Checking,4,Month-to-Month,87840.36562046262,4.055604354200209,1
40,Male,Suburb,Savings,3,1-Year,73015.29973743207,6.850364999293961,0
30,Male,Rural,Savings,1,2-Year,31123.248174860906,6.541329290319858,0
26,Male,Rural,Checking,3,Month-to-Month,97519.75498340419,2.2441643904948467,0
20,Female,City,Checking,5,2-Year,64772.251000963624,8.043883435382972,0
60,Female,Suburb,Checking,2,1-Year,47646.57916715788,1.6186695438861585,1
30,Male,City,Savings,1,Month-to-Month,89148.66336224395,5.829383359153779,1
38,Male,Rural,Checking,10,Month-to-Month,44140.29313261658,4.9237441762819945,0
40,Female,Rural,Savings,2,1-Year,76432.4465238606,9.69991473929171,1
35,Female,City,Checking,10,1-Year,51811.616881672904,6.539972895809326,1
62,Female,Rural,Checking,2,1-Year,38858.22876029699,9.612111482277033,0
64,Female,City,Savings,10,2-Year,97000.22965262512,2.240369550285411,1
42,Male,Rural,Checking,7,1-Year,55487.79544059138,2.39972048667594,1
59,Female,Suburb,Savings,1,Month-to-Month,92167.847022791,3.4270727778219325,0
53,Male,Rural,Savings,1,Month-to-Month,39966.25384626879,5.425910178217417,0
64,Female,Suburb,Savings,8,Month-to-Month,34489.980628762176,7.654070782965779,1
34,Male,Rural,Checking,5,Month-to-Month,54474.34856262439,4.909824019660439,0
35,Female,Suburb,Savings,5,1-Year,69462.43465180311,4.292228966929479,1
25,Female,Suburb,Checking,5,2-Year,60267.92464656136,5.171987667950437,1
55,Male,City,Savings,6,1-Year,96345.63228858433,9.613839322386339,1
27,Female,Rural,Savings,2,Month-to-Month,60291.94453738309,1.2419085136427568,1
36,Male,Rural,Checking,10,2-Year,93460.7235625102,1.4046937169643567,0
36,Male,Suburb,Checking,3,Month-to-Month,41448.5507956174,3.512202408261841,1
40,Male,City,Checking,9,Month-to-Month,32375.550409231568,8.0022188515461,1
34,Female,City,Checking,4,1-Year,20650.589930394013,4.429253978404679,1
34,Male,Suburb,Savings,5,2-Year,66438.67429943837,5.553623482358429,1
49,Female,Suburb,Savings,1,1-Year,59332.07958337262,6.5287294878278175,1
36,Male,Suburb,Savings,4,2-Year,80261.46792289765,9.969660820219607,1
59,Female,City,Checking,8,2-Year,81585.61695318075,7.597414871643551,0
48,Female,City,Savings,2,Month-to-Month,77011.08039712289,4.574316645486963,0
31,Female,Rural,Checking,9,Month-to-Month,27791.587647786,3.728305014745503,0
54,Male,City,Savings,2,1-Year,81813.98257662334,4.131376203314191,0
37,Male,City,Savings,6,2-Year,23102.70370214889,2.038603439436988,0
46,Male,City,Checking,5,2-Year,95118.88244162223,3.9918992933580633,0
41,Female,City,Savings,10,2-Year,76986.32724395033,5.400472333098913,1
51,Female,Suburb,Checking,10,1-Year,25307.249647338343,8.673868235854787,1
23,Male,Suburb,Checking,1,1-Year,80402.40212078756,7.830949954309929,1
22,Female,Suburb,Savings,10,2-Year,94665.418378114,6.614264898040741,0
33,Female,City,Savings,6,2-Year,52497.09880074921,7.320989670536189,1
57,Female,Suburb,Checking,5,2-Year,40943.00240567251,7.8415231217279935,0
52,Female,Rural,Checking,9,1-Year,61627.80981503416,2.3465540647329597,1
33,Female,Suburb,Savings,8,Month-to-Month,38713.886537422295,7.296394553552556,1
37,Female,City,Savings,9,2-Year,70848.69934228066,7.581822676243846,0
55,Male,Rural,Savings,2,1-Year,83124.004255909,2.59199547896161,0
57,Female,Rural,Checking,8,1-Year,69272.41802455398,4.939095262242183,1
30,Female,Rural,Checking,1,1-Year,29800.70986886389,8.642223246593234,0
61,Female,Suburb,Checking,1,2-Year,21864.543361812386,7.4680132711575045,1
28,Male,Rural,Checking,1,Month-to-Month,31757.594988031553,6.915058637898188,0
60,Male,Suburb,Checking,3,Month-to-Month,53115.664715931816,9.083320782956406,0
56,Male,Suburb,Savings,6,2-Year,65426.85820418382,6.433502589450809,1
18,Male,City,Checking,1,2-Year,99911.49437574329,3.5666768420514425,1
60,Female,City,Checking,5,2-Year,37476.62601942179,9.921594748877569,1
18,Male,City,Savings,5,2-Year,87477.37190638867,2.6945273039063498,0
38,Male,City,Checking,8,2-Year,36273.25015652599,1.4035995434749515,1
59,Female,Suburb,Savings,4,1-Year,55963.66545975097,4.507931114613247,0
46,Female,City,Checking,3,1-Year,86507.2369677687,7.12485323528321,1
38,Male,City,Checking,10,Month-to-Month,33623.3358950519,2.093703951908736,0
25,Male,Suburb,Savings,3,1-Year,44802.45746242866,2.900699815839308,0
20,Female,City,Savings,1,Month-to-Month,84297.11950974214,9.690143088805733,0
38,Female,City,Checking,2,Month-to-Month,50788.80217092628,4.249275092099685,1
36,Male,Rural,Savings,7,Month-to-Month,82633.86917258409,5.0127910340369235,1
46,Male,Suburb,Savings,6,Month-to-Month,49833.030166804725,3.543992962930012,0
46,Female,Suburb,Checking,5,2-Year,66109.92327673722,6.732817160629461,0
42,Female,Rural,Savings,7,1-Year,49228.728774429415,3.7591389715405326,0
22,Male,City,Savings,1,1-Year,75366.75734611164,6.772928514467466,0
39,Female,Suburb,Savings,3,1-Year,35819.6175516282,7.380546409357705,0
35,Female,City,Savings,1,Month-to-Month,82955.40628677011,8.879006453475412,0
34,Female,Rural,Savings,3,2-Year,92556.06437498145,6.412483421153105,0
38,Female,City,Checking,4,2-Year,60461.3886918885,5.803975901310238,1
47,Male,Suburb,Checking,1,Month-to-Month,52100.38682826131,8.907348465739553,0
20,Female,Rural,Savings,10,Month-to-Month,52993.56996173351,4.669392176812805,0
22,Male,Rural,Savings,7,Month-to-Month,76394.11166168939,4.224331097301009,1
45,Female,City,Savings,5,2-Year,37632.847829506965,7.848183631432368,0
31,Female,City,Savings,3,Month-to-Month,23256.92487477843,4.486052479317929,1
36,Female,Suburb,Checking,3,Month-to-Month,98542.04500925186,1.3894796777665757,0
26,Female,Rural,Checking,1,2-Year,50558.60384992511,6.621483956048449,1
64,Female,City,Checking,6,2-Year,62202.229537594154,7.402237528273351,0
56,Male,Rural,Checking,7,2-Year,51522.85939685422,5.719374069298068,0
20,Female,Suburb,Savings,8,2-Year,62802.25174674321,4.841541641061275,0
57,Female,City,Savings,2,1-Year,48264.975692292515,2.096236676484309,1
60,Female,Rural,Checking,1,Month-to-Month,92870.64518903362,3.906083732413204,1
19,Male,Suburb,Savings,3,2-Year,28079.939693159562,2.869753113532288,1
23,Male,City,Savings,8,2-Year,92454.88375270253,8.089099199418488,1
48,Female,Suburb,Savings,1,Month-to-Month,99453.93087267016,7.36137490214549,0
59,Male,Suburb,Checking,2,1-Year,45602.34750717668,6.674561556178688,0
52,Male,Rural,Savings,3,1-Year,64269.86973297693,6.939361361937718,1
59,Male,City,Checking,2,1-Year,51974.86466720376,1.0964904447381159,1
46,Female,Rural,Checking,9,1-Year,57618.2764551117,2.862160981851419,0
54,Male,Rural,Checking,9,Month-to-Month,28481.04466505233,9.947913257235468,1
21,Female,Rural,Savings,10,2-Year,47556.24532903882,2.58711206314923,1
48,Male,Suburb,Checking,10,Month-to-Month,94689.78857472922,1.5507507990880587,1
51,Female,City,Checking,1,Month-to-Month,39262.090062873314,2.4257227524305103,0
48,Male,Rural,Savings,1,Month-to-Month,36381.68442128277,6.039094004310414,0
46,Male,Suburb,Checking,4,Month-to-Month,29235.990262805593,8.087677839684691,1
39,Male,Rural,Savings,2,1-Year,52694.39582513375,3.936429346308498,0
41,Female,City,Savings,8,Month-to-Month,77191.23531313053,2.584992916495765,0
58,Female,Rural,Checking,3,1-Year,95695.96581853933,2.418696880357749,1
26,Male,Rural,Savings,3,2-Year,58344.5391222504,6.015805633634482,0
27,Female,Rural,Checking,5,1-Year,31060.92027892691,6.293870739023652,1
63,Female,City,Checking,8,1-Year,40378.42535289303,6.203265985929611,1
27,Male,Suburb,Savings,9,2-Year,45333.53874786942,4.386882824973123,0
26,Female,Rural,Savings,7,2-Year,81527.48345403347,8.427973172524595,1
50,Female,Rural,Savings,5,2-Year,85091.51951383252,9.445415713200893,0
59,Male,Suburb,Savings,8,1-Year,52237.27518438696,2.7826572349304217,0
37,Female,City,Savings,10,2-Year,50087.99044399197,2.356078784560271,0
50,Male,Suburb,Savings,4,Month-to-Month,92197.69573330705,7.02922079333134,0
38,Male,Suburb,Savings,2,Month-to-Month,45199.9634013747,3.002597615308345,1
59,Male,Suburb,Savings,3,1-Year,23176.469748074276,8.551676823018349,1
57,Female,Suburb,Checking,6,Month-to-Month,64829.08731202982,3.5134764958898246,0
40,Female,City,Checking,10,2-Year,38283.87493215977,7.106782269487679,1
34,Female,Suburb,Checking,10,1-Year,67503.50301326517,1.4243314973558934,1
64,Male,City,Savings,2,Month-to-Month,70514.93392843458,4.696007161212504,1
24,Male,Rural,Checking,8,2-Year,85912.37141422382,8.219421719656271,1
38,Female,City,Checking,3,2-Year,32933.058475233236,3.3900792167777283,0
57,Male,City,Savings,5,1-Year,35073.90386624816,7.259278989263475,0
29,Male,Suburb,Savings,8,2-Year,86050.69512799426,5.128978080842755,1
55,Male,City,Checking,1,1-Year,36267.54406047595,9.71007079282432,0
48,Female,City,Checking,3,1-Year,67010.97539004122,9.969912100781686,0
38,Female,City,Checking,10,2-Year,53088.05705275035,9.01057279116553,1
56,Male,City,Checking,10,Month-to-Month,97364.19664246732,1.2078833857136564,1
26,Female,City,Checking,2,Month-to-Month,72900.52772569803,9.36791204030272,0
27,Female,Rural,Checking,7,2-Year,42228.1026390069,6.4430840542412575,0
64,Male,Rural,Savings,7,2-Year,60337.00278109328,9.043695271766497,1
32,Male,Rural,Savings,1,Month-to-Month,83584.79818688278,2.579387643815205,0
39,Female,Suburb,Checking,9,2-Year,35635.40310472378,4.44945800103652,0
34,Female,Rural,Savings,3,1-Year,80348.51176141118,7.760504432762859,0
63,Female,Rural,Checking,6,1-Year,30945.169042286685,6.36979026973292,0
51,Male,Suburb,Checking,1,Month-to-Month,64092.16342970318,9.27100722094541,1
61,Male,Rural,Checking,1,2-Year,82123.51378060397,5.687832367981109,0
45,Male,City,Checking,9,1-Year,48179.903511989905,8.541327521716628,1
46,Male,Suburb,Savings,5,1-Year,56522.54958270565,9.382717072510392,0
38,Male,City,Savings,6,1-Year,68527.67964322207,3.4986832684047573,1
43,Female,Rural,Checking,7,Month-to-Month,90209.95512689253,2.591283975850321,0
61,Female,Rural,Checking,7,1-Year,91821.40693326168,3.118665049708653,1
19,Male,Suburb,Savings,10,1-Year,77383.37470256226,4.632124200440151,0
39,Female,Suburb,Savings,5,1-Year,29349.121938395707,1.7857439623552736,0
25,Female,Suburb,Checking,2,1-Year,24480.36070338052,3.204325580321598,1
33,Female,Suburb,Checking,4,Month-to-Month,25479.131003448252,2.093287423951284,1
58,Male,Rural,Savings,1,Month-to-Month,89544.93761754877,7.71931026089104,1
63,Male,Suburb,Savings,2,Month-to-Month,41940.888674994916,9.631777190701476,0
54,Male,Rural,Checking,9,Month-to-Month,32474.035858091196,3.595155187978288,1
59,Male,Rural,Savings,8,Month-to-Month,65293.16858715224,6.845702058078654,1
37,Male,City,Checking,3,2-Year,48475.71083245196,8.440330146326776,0
23,Male,Suburb,Checking,4,Month-to-Month,86831.40329242632,7.454891415526227,0
42,Male,City,Checking,4,1-Year,72868.97159581483,7.858645876620272,0
25,Female,Rural,Checking,10,Month-to-Month,84440.54971595046,9.67094712928111,0
54,Male,City,Savings,10,Month-to-Month,77788.0662423789,4.4258924750823425,0
36,Male,Suburb,Savings,6,1-Year,24294.4226128931,1.861946499419393,0
27,Male,Suburb,Savings,1,Month-to-Month,29771.733995977724,2.9905688039678817,0
57,Female,Suburb,Savings,2,2-Year,50512.846977731715,2.618912095926263,1
35,Male,Suburb,Savings,3,Month-to-Month,63457.466478194096,4.959661152719438,0
63,Male,Suburb,Savings,2,2-Year,69301.87076239432,7.387254727888026,1
54,Male,City,Checking,7,2-Year,50714.911502996736,6.22330365651623,0
33,Female,Suburb,Checking,10,2-Year,69653.34914562682,6.814063579364972,1
31,Male,City,Checking,4,2-Year,85989.84901920415,3.1164582019063336,0
20,Male,Suburb,Checking,9,1-Year,76589.79135457851,2.5589425442819334,0
38,Female,Rural,Checking,7,2-Year,25062.085051288064,5.254092648896568,0
43,Male,City,Savings,10,2-Year,97137.03190638707,7.04748671336007,1
61,Female,Rural,Savings,3,Month-to-Month,40585.56140463623,3.132232313888151,0
52,Female,Suburb,Checking,5,Month-to-Month,67384.53740954236,9.829111045307874,1
18,Female,City,Checking,1,2-Year,24147.368662598325,7.900040432188674,0
63,Male,Suburb,Savings,10,2-Year,46855.12452730814,7.649346019150675,1
62,Male,Rural,Savings,9,Month-to-Month,22093.516767515586,3.6317903376579865,0
27,Female,Suburb,Savings,1,2-Year,59501.964869016694,8.637542717571328,1
34,Female,City,Savings,1,2-Year,82369.21600147078,6.572189637496514,0
54,Female,Suburb,Savings,8,1-Year,48241.08748641695,9.975908943777132,0
40,Female,City,Savings,6,1-Year,69491.32266607389,7.077791536865008,1
18,Female,City,Savings,7,1-Year,56690.296744305604,5.312356460382401,1
